,index,src,tar
347,4,?,-
348,1,신영동,LOC_B
349,2,맛집,FOD_B
350,3,어디,-
351,4,?,-
352,1,무악동,LOC_B
353,2,맛집,FOD_B
354,3,어디야,-
355,4,?,-
356,1,창신1동,LOC_B
357,2,맛집,FOD_B
358,3,어디야,-
359,4,?,-
360,1,창신2동,LOC_B
361,2,맛집,FOD_B
362,3,알려줘,-
363,4,?,-
364,1,창신3동,LOC_B
365,2,맛집,FOD_B
366,3,알려줘,-
367,4,?,-
368,1,숭인1동,LOC_B
369,2,맛집,FOD_B
370,3,어딨어,-
371,4,?,-
372,1,숭인2동,LOC_B
373,2,맛집,FOD_B
374,3,어딨어,-
375,4,?,-
376,1,중구,LOC_B
377,2,맛집,FOD_B
378,3,어딨어,-
379,4,?,-
380,1,동자동,LOC_B
381,2,맛집,FOD_B
382,3,갈래,-
383,4,?,-
384,1,도동1가,LOC_B
385,2,맛집,FOD_B
386,3,어디야,-
387,4,?,-
388,1,도동2가,LOC_B
389,2,맛집,FOD_B
390,3,어디야,-
391,4,?,-
392,1,양동,LOC_B
393,2,맛집,FOD_B
394,3,알려줘,-
395,4,?,-
396,1,무교동,LOC_B
397,2,맛집,FOD_B
398,3,어딨어,-
399,4,?,-
400,1,다동,LOC_B
401,2,맛집,FOD_B
402,3,어딨어,-
403,4,?,-
404,1,태평로1가,LOC_B
405,2,맛집,FOD_B
406,3,갈래,-
407,4,?,-
408,1,을지로1가,LOC_B
409,2,맛집,FOD_B
410,3,갈래,-
411,4,?,-
412,1,을지로2가,LOC_B
413,2,맛집,FOD_B
414,3,알려줘,-
415,4,?,-
416,1,남대문로1가,LOC_B
417,2,맛집,FOD_B
418,3,어딨어,-
419,4,?,-
420,1,삼각동,LOC_B
421,2,맛집,FOD_B
422,3,어디,-
423,4,?,-
424,1,수하동,LOC_B
425,2,맛집,FOD_B
426,3,어디야,-
427,4,?,-
428,1,장교동,LOC_B
429,2,맛집,FOD_B
430,3,어딨어,-
431,4,?,-
432,1,수표동,LOC_B
433,2,맛집,FOD_B
434,3,어딨어,-
435,4,?,-
436,1,소공동,LOC_B
437,2,맛집,FOD_B
438,3,어디야,-
439,4,?,-
440,1,남창동,LOC_B
441,2,맛집,FOD_B
442,3,갈래,-
443,4,?,-
444,1,북창동,LOC_B
445,2,맛집,FOD_B
446,3,알려줘,-
447,4,?,-
448,1,태평로2가,LOC_B
449,2,맛집,FOD_B
450,3,어딨어,-
451,4,?,-
452,1,남대문로2가,LOC_B
453,2,맛집,FOD_B
454,3,어디야,-
455,4,?,-
456,1,남대문로3가,LOC_B
457,2,맛집,FOD_B
458,3,어딨어,-
459,4,?,-
460,1,남대문로4가,LOC_B
461,2,맛집,FOD_B
462,3,어디,-
463,4,?,-
464,1,남대문로5가,LOC_B
465,2,맛집,FOD_B
466,3,어딨어,-
467,4,?,-
468,1,봉래동1가,LOC_B
469,2,맛집,FOD_B
470,3,어딨어,-
471,4,?,-
472,1,봉래동2가,LOC_B
473,2,맛집,FOD_B
474,3,어딨어,-
475,4,?,-
476,1,회현동1가,LOC_B
477,2,맛집,FOD_B
478,3,갈래,-
479,4,?,-
480,1,회현동2가,LOC_B
481,2,맛집,FOD_B
482,3,알려줘,-
483,4,?,-
484,1,회현동3가,LOC_B
485,2,맛집,FOD_B
486,3,알려줘,-
487,4,?,-
488,1,충무로1가,LOC_B
489,2,맛집,FOD_B
490,3,어딨어,-
491,4,?,-
492,1,충무로2가,LOC_B
493,2,맛집,FOD_B
494,3,알려줘,-
495,4,?,-
496,1,명동1가,LOC_B
497,2,맛집,FOD_B
498,3,갈래,-
499,4,?,-
500,1,명동2가,LOC_B
501,2,맛집,FOD_B
502,3,갈래,-
503,4,?,-
504,1,남산동1가,LOC_B
505,2,맛집,FOD_B
506,3,갈래,-
507,4,?,-
508,1,남산동2가,LOC_B
509,2,맛집,FOD_B
510,3,갈래,-
511,4,?,-
512,1,남산동3가,LOC_B
513,2,맛집,FOD_B
514,3,어디야,-
515,4,?,-
516,1,저동1가,LOC_B
517,2,맛집,FOD_B
518,3,갈래,-
519,4,?,-
520,1,충무로4가,LOC_B
521,2,맛집,FOD_B
522,3,갈래,-
523,4,?,-
524,1,충무로5가,LOC_B
525,2,맛집,FOD_B
526,3,알려줘,-
527,4,?,-
528,1,인현동2가,LOC_B
529,2,맛집,FOD_B
530,3,어디야,-
531,4,?,-
532,1,예관동,LOC_B
533,2,맛집,FOD_B
534,3,어딨어,-
535,4,?,-
536,1,묵정동,LOC_B
537,2,맛집,FOD_B
538,3,갈래,-
539,4,?,-
540,1,필동1가,LOC_B
541,2,맛집,FOD_B
542,3,어딨어,-
543,4,?,-
544,1,필동2가,LOC_B
545,2,맛집,FOD_B
546,3,어딨어,-
547,4,?,-
548,1,필동3가,LOC_B
549,2,맛집,FOD_B
550,3,어딨어,-
551,4,?,-
552,1,남학동,LOC_B
553,2,맛집,FOD_B
554,3,어딨어,-
555,4,?,-
556,1,주자동,LOC_B
557,2,맛집,FOD_B
558,3,갈래,-
559,4,?,-
560,1,예장동,LOC_B
561,2,맛집,FOD_B
562,3,어디,-
563,4,?,-
564,1,장충동1가,LOC_B
565,2,맛집,FOD_B
566,3,어디,-
567,4,?,-
568,1,장충동2가,LOC_B
569,2,맛집,FOD_B
570,3,어딨어,-
571,4,?,-
572,1,광희동1가,LOC_B
573,2,맛집,FOD_B
574,3,어디,-
575,4,?,-
576,1,광희동2가,LOC_B
577,2,맛집,FOD_B
578,3,알려줘,-
579,4,?,-
580,1,쌍림동,LOC_B
581,2,맛집,FOD_B
582,3,갈래,-
583,4,?,-
584,1,을지로6가,LOC_B
585,2,맛집,FOD_B
586,3,갈래,-
587,4,?,-
588,1,을지로7가,LOC_B
589,2,맛집,FOD_B
590,3,어딨어,-
591,4,?,-
592,1,을지로4가,LOC_B
593,2,맛집,FOD_B
594,3,어딨어,-
595,4,?,-
596,1,을지로5가,LOC_B
597,2,맛집,FOD_B
598,3,알려줘,-
599,4,?,-
600,1,주교동,LOC_B
601,2,맛집,FOD_B
602,3,갈래,-
603,4,?,-
604,1,방산동,LOC_B
605,2,맛집,FOD_B
606,3,어디야,-
607,4,?,-
608,1,오장동,LOC_B
609,2,맛집,FOD_B
610,3,어딨어,-
611,4,?,-
612,1,을지로3가,LOC_B
613,2,맛집,FOD_B
614,3,어디,-
615,4,?,-
616,1,입정동,LOC_B
617,2,맛집,FOD_B
618,3,갈래,-
619,4,?,-
620,1,산림동,LOC_B
621,2,맛집,FOD_B
622,3,어디,-
623,4,?,-
624,1,충무로3가,LOC_B
625,2,맛집,FOD_B
626,3,어딨어,-
627,4,?,-
628,1,초동,LOC_B
629,2,맛집,FOD_B
630,3,어디,-
631,4,?,-
632,1,인현동1가,LOC_B
633,2,맛집,FOD_B
634,3,알려줘,-
635,4,?,-
636,1,저동2가,LOC_B
637,2,맛집,FOD_B
638,3,어디,-
639,4,?,-
640,1,신당동,LOC_B
641,2,맛집,FOD_B
642,3,알려줘,-
643,4,?,-
644,1,흥인동,LOC_B
645,2,맛집,FOD_B
646,3,어디야,-
647,4,?,-
648,1,무학동,LOC_B
649,2,맛집,FOD_B
650,3,어딨어,-
651,4,?,-
652,1,황학동,LOC_B
653,2,맛집,FOD_B
654,3,어딨어,-
655,4,?,-
656,1,서소문동,LOC_B
657,2,맛집,FOD_B
658,3,어디야,-
659,4,?,-
660,1,정동,LOC_B
661,2,맛집,FOD_B
662,3,갈래,-
663,4,?,-
664,1,순화동,LOC_B
665,2,맛집,FOD_B
666,3,어디야,-
667,4,?,-
668,1,의주로1가,LOC_B
669,2,맛집,FOD_B
670,3,어딨어,-
671,4,?,-
672,1,충정로1가,LOC_B
673,2,맛집,FOD_B
674,3,어딨어,-
675,4,?,-
676,1,중림동,LOC_B
677,2,맛집,FOD_B
678,3,갈래,-
679,4,?,-
680,1,의주로2가,LOC_B
681,2,맛집,FOD_B
682,3,갈래,-
683,4,?,-
684,1,만리동1가,LOC_B
685,2,맛집,FOD_B
686,3,어딨어,-
687,4,?,-
688,1,만리동2가,LOC_B
689,2,맛집,FOD_B
690,3,어딨어,-
691,4,?,-
692,1,신당1동,LOC_B
693,2,맛집,FOD_B
694,3,알려줘,-
695,4,?,-
696,1,신당2동,LOC_B
697,2,맛집,FOD_B
698,3,어딨어,-
699,4,?,-
700,1,신당3동,LOC_B
701,2,맛집,FOD_B
702,3,어디,-
703,4,?,-
704,1,신당4동,LOC_B
705,2,맛집,FOD_B
706,3,알려줘,-
707,4,?,-
708,1,신당5동,LOC_B
709,2,맛집,FOD_B
710,3,갈래,-
711,4,?,-
712,1,신당6동,LOC_B
713,2,맛집,FOD_B
714,3,알려줘,-
715,4,?,-
716,1,용산구,LOC_B
717,2,맛집,FOD_B
718,3,알려줘,-
719,4,?,-
720,1,옥수동,LOC_B
721,2,맛집,FOD_B
722,3,알려줘,-
723,4,?,-
724,1,도동1가,LOC_B
725,2,맛집,FOD_B
726,3,어디,-
727,4,?,-
728,1,도동2가,LOC_B
729,2,맛집,FOD_B
730,3,어디야,-
731,4,?,-
732,1,만리동1가,LOC_B
733,2,맛집,FOD_B
734,3,어디야,-
735,4,?,-
736,1,만리동2가,LOC_B
737,2,맛집,FOD_B
738,3,갈래,-
739,4,?,-
740,1,후암동,LOC_B
741,2,맛집,FOD_B
742,3,어디야,-
743,4,?,-
744,1,용산동2가,LOC_B
745,2,맛집,FOD_B
746,3,어디,-
747,4,?,-
748,1,용산동4가,LOC_B
749,2,맛집,FOD_B
750,3,알려줘,-
751,4,?,-
752,1,갈월동,LOC_B
753,2,맛집,FOD_B
754,3,알려줘,-
755,4,?,-
756,1,남영동,LOC_B
757,2,맛집,FOD_B
758,3,알려줘,-
759,4,?,-
760,1,용산동1가,LOC_B
761,2,맛집,FOD_B
762,3,갈래,-
763,4,?,-
764,1,동자동,LOC_B
765,2,맛집,FOD_B
766,3,알려줘,-
767,4,?,-
768,1,서계동,LOC_B
769,2,맛집,FOD_B
770,3,알려줘,-
771,4,?,-
772,1,청파동1가,LOC_B
773,2,맛집,FOD_B
774,3,어딨어,-
775,4,?,-
776,1,청파동2가,LOC_B
777,2,맛집,FOD_B
778,3,알려줘,-
779,4,?,-
780,1,청파동3가,LOC_B
781,2,맛집,FOD_B
782,3,알려줘,-
783,4,?,-
784,1,원효로1가,LOC_B
785,2,맛집,FOD_B
786,3,어디야,-
787,4,?,-
788,1,원효로2가,LOC_B
789,2,맛집,FOD_B
790,3,갈래,-
791,4,?,-
792,1,신창동,LOC_B
793,2,맛집,FOD_B
794,3,어딨어,-
795,4,?,-
796,1,산천동,LOC_B
797,2,맛집,FOD_B
798,3,어디,-
799,4,?,-
800,1,청암동,LOC_B
801,2,맛집,FOD_B
802,3,갈래,-
803,4,?,-
804,1,원효로3가,LOC_B
805,2,맛집,FOD_B
806,3,어디,-
807,4,?,-
808,1,원효로4가,LOC_B
809,2,맛집,FOD_B
810,3,알려줘,-
811,4,?,-
812,1,효창동,LOC_B
813,2,맛집,FOD_B
814,3,알려줘,-
815,4,?,-
816,1,도원동,LOC_B
817,2,맛집,FOD_B
818,3,알려줘,-
819,4,?,-
820,1,용문동,LOC_B
821,2,맛집,FOD_B
822,3,어디야,-
823,4,?,-
824,1,문배동,LOC_B
825,2,맛집,FOD_B
826,3,갈래,-
827,4,?,-
828,1,신계동,LOC_B
829,2,맛집,FOD_B
830,3,어디,-
831,4,?,-
832,1,한강로1가,LOC_B
833,2,맛집,FOD_B
834,3,어디야,-
835,4,?,-
836,1,한강로2가,LOC_B
837,2,맛집,FOD_B
838,3,갈래,-
839,4,?,-
840,1,용산동3가,LOC_B
841,2,맛집,FOD_B
842,3,어디야,-
843,4,?,-
844,1,용산동5가,LOC_B
845,2,맛집,FOD_B
846,3,어딨어,-
847,4,?,-
848,1,한강로3가,LOC_B
849,2,맛집,FOD_B
850,3,어디야,-
851,4,?,-
852,1,이촌동,LOC_B
853,2,맛집,FOD_B
854,3,알려줘,-
855,4,?,-
856,1,이태원동,LOC_B
857,2,맛집,FOD_B
858,3,어디야,-
859,4,?,-
860,1,한남동,LOC_B
861,2,맛집,FOD_B
862,3,알려줘,-
863,4,?,-
864,1,동빙고동,LOC_B
865,2,맛집,FOD_B
866,3,알려줘,-
867,4,?,-
868,1,서빙고동,LOC_B
869,2,맛집,FOD_B
870,3,알려줘,-
871,4,?,-
872,1,주성동,LOC_B
873,2,맛집,FOD_B
874,3,알려줘,-
875,4,?,-
876,1,용산동6가,LOC_B
877,2,맛집,FOD_B
878,3,어디,-
879,4,?,-
880,1,보광동,LOC_B
881,2,맛집,FOD_B
882,3,갈래,-
883,4,?,-
884,1,청파1동,LOC_B
885,2,맛집,FOD_B
886,3,어디,-
887,4,?,-
888,1,청파2동,LOC_B
889,2,맛집,FOD_B
890,3,갈래,-
891,4,?,-
892,1,이촌1동,LOC_B
893,2,맛집,FOD_B
894,3,어디야,-
895,4,?,-
896,1,이촌2동,LOC_B
897,2,맛집,FOD_B
898,3,알려줘,-
899,4,?,-
900,1,이태원1동,LOC_B
901,2,맛집,FOD_B
902,3,알려줘,-
903,4,?,-
904,1,이태원2동,LOC_B
905,2,맛집,FOD_B
906,3,어딨어,-
907,4,?,-
908,1,한남1동,LOC_B
909,2,맛집,FOD_B
910,3,알려줘,-
911,4,?,-
912,1,한남2동,LOC_B
913,2,맛집,FOD_B
914,3,어딨어,-
915,4,?,-
916,1,성동구,LOC_B
917,2,맛집,FOD_B
918,3,어딨어,-
919,4,?,-
920,1,상일동,LOC_B
921,2,맛집,FOD_B
922,3,어딨어,-
923,4,?,-
924,1,길동,LOC_B
925,2,맛집,FOD_B
926,3,어딨어,-
927,4,?,-
928,1,둔촌동,LOC_B
929,2,맛집,FOD_B
930,3,갈래,-
931,4,?,-
932,1,암사동,LOC_B
933,2,맛집,FOD_B
934,3,어디야,-
935,4,?,-
936,1,성내동,LOC_B
937,2,맛집,FOD_B
938,3,갈래,-
939,4,?,-
940,1,풍납동,LOC_B
941,2,맛집,FOD_B
942,3,어디야,-
943,4,?,-
944,1,천호동,LOC_B
945,2,맛집,FOD_B
946,3,어디야,-
947,4,?,-
948,1,송파동,LOC_B
949,2,맛집,FOD_B
950,3,어딨어,-
951,4,?,-
952,1,석촌동,LOC_B
953,2,맛집,FOD_B
954,3,어디,-
955,4,?,-
956,1,삼전동,LOC_B
957,2,맛집,FOD_B
958,3,갈래,-
959,4,?,-
960,1,가락동,LOC_B
961,2,맛집,FOD_B
962,3,어디야,-
963,4,?,-
964,1,이동,LOC_B
965,2,맛집,FOD_B
966,3,어디,-
967,4,?,-
968,1,오금동,LOC_B
969,2,맛집,FOD_B
970,3,알려줘,-
971,4,?,-
972,1,방이동,LOC_B
973,2,맛집,FOD_B
974,3,갈래,-
975,4,?,-
976,1,문정동,LOC_B
977,2,맛집,FOD_B
978,3,알려줘,-
979,4,?,-
980,1,장지동,LOC_B
981,2,맛집,FOD_B
982,3,어딨어,-
983,4,?,-
984,1,거여동,LOC_B
985,2,맛집,FOD_B
986,3,어디,-
987,4,?,-
988,1,마천동,LOC_B
989,2,맛집,FOD_B
990,3,알려줘,-
991,4,?,-
992,1,잠실동,LOC_B
993,2,맛집,FOD_B
994,3,어디,-
995,4,?,-
996,1,신천동,LOC_B
997,2,맛집,FOD_B
998,3,어딨어,-
999,4,?,-
1000,1,일원동,LOC_B
1001,2,맛집,FOD_B
1002,3,어디야,-
1003,4,?,-
1004,1,수서동,LOC_B
1005,2,맛집,FOD_B
1006,3,어디야,-
1007,4,?,-
1008,1,자곡동,LOC_B
1009,2,맛집,FOD_B
1010,3,어딨어,-
1011,4,?,-
1012,1,율현동,LOC_B
1013,2,맛집,FOD_B
1014,3,어딨어,-
1015,4,?,-
1016,1,세곡동,LOC_B
1017,2,맛집,FOD_B
1018,3,어디,-
1019,4,?,-
1020,1,역삼동,LOC_B
1021,2,맛집,FOD_B
1022,3,어딨어,-
1023,4,?,-
1024,1,포이동,LOC_B
1025,2,맛집,FOD_B
1026,3,알려줘,-
1027,4,?,-
1028,1,개포동,LOC_B
1029,2,맛집,FOD_B
1030,3,어디,-
1031,4,?,-
1032,1,도곡동,LOC_B
1033,2,맛집,FOD_B
1034,3,어디,-
1035,4,?,-
1036,1,논현동,LOC_B
1037,2,맛집,FOD_B
1038,3,어딨어,-
1039,4,?,-
1040,1,신사동,LOC_B
1041,2,맛집,FOD_B
1042,3,알려줘,-
1043,4,?,-
1044,1,학동,LOC_B
1045,2,맛집,FOD_B
1046,3,어디야,-
1047,4,?,-
1048,1,압구정동,LOC_B
1049,2,맛집,FOD_B
1050,3,알려줘,-
1051,4,?,-
1052,1,청담동,LOC_B
1053,2,맛집,FOD_B
1054,3,알려줘,-
1055,4,?,-
1056,1,삼성동,LOC_B
1057,2,맛집,FOD_B
1058,3,어디,-
1059,4,?,-
1060,1,대치동,LOC_B
1061,2,맛집,FOD_B
1062,3,어딨어,-
1063,4,?,-
1064,1,염곡동,LOC_B
1065,2,맛집,FOD_B
1066,3,어딨어,-
1067,4,?,-
1068,1,내곡동,LOC_B
1069,2,맛집,FOD_B
1070,3,어디야,-
1071,4,?,-
1072,1,신원동,LOC_B
1073,2,맛집,FOD_B
1074,3,어딨어,-
1075,4,?,-
1076,1,반포동,LOC_B
1077,2,맛집,FOD_B
1078,3,갈래,-
1079,4,?,-
1080,1,잠원동,LOC_B
1081,2,맛집,FOD_B
1082,3,알려줘,-
1083,4,?,-
1084,1,서초동,LOC_B
1085,2,맛집,FOD_B
1086,3,어딨어,-
1087,4,?,-
1088,1,양재동,LOC_B
1089,2,맛집,FOD_B
1090,3,어디,-
1091,4,?,-
1092,1,우면동,LOC_B
1093,2,맛집,FOD_B
1094,3,어딨어,-
1095,4,?,-
1096,1,원지동,LOC_B
1097,2,맛집,FOD_B
1098,3,알려줘,-
1099,4,?,-
1100,1,황학동,LOC_B
1101,2,맛집,FOD_B
1102,3,어디야,-
1103,4,?,-
1104,1,무학동,LOC_B
1105,2,맛집,FOD_B
1106,3,어디,-
1107,4,?,-
1108,1,흥인동,LOC_B
1109,2,맛집,FOD_B
1110,3,어디,-
1111,4,?,-
1112,1,신당동,LOC_B
1113,2,맛집,FOD_B
1114,3,어디,-
1115,4,?,-
1116,1,용두동,LOC_B
1117,2,맛집,FOD_B
1118,3,어디야,-
1119,4,?,-
1120,1,답십리동,LOC_B
1121,2,맛집,FOD_B
1122,3,어딨어,-
1123,4,?,-
1124,1,면목동,LOC_B
1125,2,맛집,FOD_B
1126,3,어디야,-
1127,4,?,-
1128,1,금호동,LOC_B
1129,2,맛집,FOD_B
1130,3,알려줘,-
1131,4,?,-
1132,1,명일동,LOC_B
1133,2,맛집,FOD_B
1134,3,어디야,-
1135,4,?,-
1136,1,하일동,LOC_B
1137,2,맛집,FOD_B
1138,3,알려줘,-
1139,4,?,-
1140,1,고덕동,LOC_B
1141,2,맛집,FOD_B
1142,3,갈래,-
1143,4,?,-
1144,1,상왕십리동,LOC_B
1145,2,맛집,FOD_B
1146,3,어딨어,-
1147,4,?,-
1148,1,하왕십리동,LOC_B
1149,2,맛집,FOD_B
1150,3,어디,-
1151,4,?,-
1152,1,홍익동,LOC_B
1153,2,맛집,FOD_B
1154,3,알려줘,-
1155,4,?,-
1156,1,도선동,LOC_B
1157,2,맛집,FOD_B
1158,3,어디야,-
1159,4,?,-
1160,1,마장동,LOC_B
1161,2,맛집,FOD_B
1162,3,알려줘,-
1163,4,?,-
1164,1,사근동,LOC_B
1165,2,맛집,FOD_B
1166,3,어딨어,-
1167,4,?,-
1168,1,행당동,LOC_B
1169,2,맛집,FOD_B
1170,3,어디,-
1171,4,?,-
1172,1,응봉동,LOC_B
1173,2,맛집,FOD_B
